O3,O3+gcm,binary,Diff in size (more is good),Percentage decrease (more is good)
20590888,20582240,arcmt-test,8648,0.04199916
32039504,32046336,bugpoint,-6832,-0.021323676
12912,12912,c-arcmt-test,0,0
21505720,21501168,c-index-test,4552,0.021166462
67653936,67648416,clang-8,5520,0.008159171
2122848,2122848,clang-apply-replacements,0,0
21686096,21685640,clang-change-namespace,456,0.00210273
43786104,43780784,clang-check,5320,0.012149973
28707456,28694720,clangd,12736,0.044364781
20757848,20753296,clang-diff,4552,0.021929055
20810376,20805824,clangd-indexer,4552,0.021873704
20853848,20849304,clang-doc,4544,0.021789744
20404512,20399960,clang-extdef-mapping,4552,0.022308791
2110880,2110880,clang-format,0,0
25589208,25588480,clang-import-test,728,0.002844949
21043544,21038992,clang-include-fixer,4552,0.021631337
21615088,21610536,clang-move,4552,0.021059364
3349328,3349208,clang-offload-bundler,120,0.003582808
22940152,22935600,clang-query,4552,0.019842937
21706800,21702248,clang-refactor,4552,0.020970387
20826344,20821792,clang-rename,4552,0.021856933
20959872,20959416,clang-reorder-fields,456,0.002175586
1238864,1238864,clang-tblgen,0,0
34653360,34640616,clang-tidy,12744,0.036775655
7936,7936,count,0,0
712688,712688,dexp,0,0
4579344,4578760,diagtool,584,0.012752918
20137968,20137312,dsymutil,656,0.003257528
401344,401344,FileCheck,0,0
21102000,21097456,find-all-symbols,4544,0.021533504
9974,9974,hmaptool,0,0
28325144,28331880,llc,-6736,-0.023780991
26979384,26986272,lli,-6888,-0.025530605
447936,447936,lli-child-target,0,0
6162952,6166928,llvm-ar,-3976,-0.064514538
3137224,3137104,llvm-as,120,0.003825038
296784,296784,llvm-bcanalyzer,0,0
2816144,2816032,llvm-cat,112,0.003977069
8417224,8417104,llvm-cfi-verify,120,0.001425648
201064,201064,llvm-config,0,0
3631840,3631136,llvm-cov,704,0.019384114
19860736,19859968,llvm-c-test,768,0.003866926
2965080,2964960,llvm-cvtres,120,0.004047108
2980408,2984384,llvm-cxxdump,-3976,-0.133404554
365312,365312,llvm-cxxfilt,0,0
441984,441984,llvm-cxxmap,0,0
2493200,2493080,llvm-diff,120,0.004813092
2177904,2181880,llvm-dis,-3976,-0.182560847
5887360,5887240,llvm-dwarfdump,120,0.002038265
19423776,19423008,llvm-dwp,768,0.003953917
2990848,2990736,llvm-elfabi,112,0.003744757
21864768,21864000,llvm-exegesis,768,0.0035125
3903192,3903072,llvm-extract,120,0.003074407
19821720,19820952,llvm-isel-fuzzer,768,0.003874538
462096,462096,llvm-itanium-demangle-fuzzer,0,0
3587000,3586880,llvm-link,120,0.003345414
1835,1835,llvm-lit,0,0
26840648,26851312,llvm-lto,-10664,-0.039730784
28562104,28572904,llvm-lto2,-10800,-0.03781234
5896040,5896040,llvm-mc,0,0
4011720,4011720,llvm-mca,0,0
413272,413168,llvm-microsoft-demangle-fuzzer,104,0.025165024
2850704,2850584,llvm-modextract,120,0.004209486
250184,250184,llvm-mt,0,0
6322680,6322560,llvm-nm,120,0.001897929
3305696,3305576,llvm-objcopy,120,0.003630098
8330152,8329928,llvm-objdump,224,0.002689027
27037120,27043824,llvm-opt-fuzzer,-6704,-0.02479554
478056,478056,llvm-opt-report,0,0
5311152,5311032,llvm-pdbutil,120,0.002259397
21688,21688,llvm-PerfectShuffle,0,0
1512080,1507280,llvm-profdata,4800,0.317443522
374936,374936,llvm-rc,0,0
4505464,4505344,llvm-readobj,120,0.002663433
5729960,5729960,llvm-rtdyld,0,0
2981440,2985416,llvm-size,-3976,-0.133358377
350216,350216,llvm-special-case-list-fuzzer,0,0
3368192,3368080,llvm-split,112,0.003325226
3773480,3773368,llvm-stress,112,0.002968083
239296,239296,llvm-strings,0,0
3608520,3608400,llvm-symbolizer,120,0.003325463
3070552,3066456,llvm-tblgen,4096,0.13339621
311288,307088,llvm-undname,4200,1.349232865
4131504,4135480,llvm-xray,-3976,-0.096236141
351856,351856,llvm-yaml-numeric-parser-fuzzer,0,0
20510144,20505592,modularize,4552,0.022193896
131168,131168,not,0,0
4759032,4758800,obj2yaml,232,0.004874941
33309584,33316544,opt,-6960,-0.020894887
20371800,20371344,pp-trace,456,0.002238388
7816440,7816320,sancov,120,0.001535226
3552072,3551952,sanstats,120,0.00337831
55075,55075,scan-build,0,0
4702,4702,scan-view,0,0
20940688,20936136,tool-template,4552,0.021737586
3329744,3329624,verify-uselistorder,120,0.003603881
1689240,1689120,yaml2obj,120,0.007103786
301072,301072,yaml-bench,0,0
616072,615512,libbenchmark.a,560,0.090898466
2168,2168,libbenchmark_main.a,0,0
1551790,1551470,libclangAnalysis.a,320,0.020621347
123510,123430,libclangApplyReplacements.a,80,0.064772083
4088850,4084082,libclangARCMigrate.a,4768,0.116609805
8451388,8454020,libclangAST.a,-2632,-0.031142813
611040,610336,libclangASTMatchers.a,704,0.115213407
4924484,4926396,libclangBasic.a,-1912,-0.038826403
516512,516816,libclangChangeNamespace.a,-304,-0.058856329
9370698,9370818,libclangCodeGen.a,-120,-0.001280588
53856,53824,libclangCrossTU.a,32,0.059417706
3598796,3598556,libclangDaemon.a,240,0.006668897
932524,931700,libclangDoc.a,824,0.088362337
4237236,4241428,libclangDriver.a,-4192,-0.098932417
3890562,3887898,libclangDynamicASTMatchers.a,2664,0.068473398
86240,86272,libclangEdit.a,-32,-0.037105751
1000494,998710,libclangFormat.a,1784,0.178311914
2900802,2900274,libclangFrontend.a,528,0.018201863
22494,22494,libclangFrontendTool.a,0,0
30014,30014,libclangHandleCXX.a,0,0
304726,304742,libclangHandleLLVM.a,-16,-0.005250619
194570,194586,libclangIncludeFixer.a,-16,-0.008223262
71604,71604,libclangIncludeFixerPlugin.a,0,0
521188,520948,libclangIndex.a,240,0.046048643
1290512,1291192,libclangLex.a,-680,-0.052692265
367992,368200,libclangMove.a,-208,-0.056522968
1841418,1840658,libclangParse.a,760,0.041272541
65596,65796,libclangQuery.a,-200,-0.30489664
96656,96744,libclangReorderFields.a,-88,-0.091044529
91634,91634,libclangRewrite.a,0,0
1066704,1067136,libclangRewriteFrontend.a,-432,-0.040498583
14524646,14520726,libclangSema.a,3920,0.02698861
3224218,3224852,libclangSerialization.a,-634,-0.019663683
6330866,6328090,libclangStaticAnalyzerCheckers.a,2776,0.043848661
3176042,3175106,libclangStaticAnalyzerCore.a,936,0.029470643
531966,531686,libclangStaticAnalyzerFrontend.a,280,0.052634943
413924,413996,libclangTidy.a,-72,-0.017394498
1115172,1115204,libclangTidyAbseilModule.a,-32,-0.002869513
498580,498580,libclangTidyAndroidModule.a,0,0
88470,88502,libclangTidyBoostModule.a,-32,-0.036170453
3548664,3548320,libclangTidyBugproneModule.a,344,0.009693789
565888,565888,libclangTidyCERTModule.a,0,0
1390832,1390712,libclangTidyCppCoreGuidelinesModule.a,120,0.008627929
222872,222872,libclangTidyFuchsiaModule.a,0,0
628954,628946,libclangTidyGoogleModule.a,8,0.001271953
308688,308688,libclangTidyHICPPModule.a,0,0
104118,104070,libclangTidyLLVMModule.a,48,0.046101539
1556870,1556590,libclangTidyMiscModule.a,280,0.017984803
5540788,5538620,libclangTidyModernizeModule.a,2168,0.039128009
94798,94902,libclangTidyMPIModule.a,-104,-0.109706956
113862,113862,libclangTidyObjCModule.a,0,0
1220434,1220330,libclangTidyPerformanceModule.a,104,0.008521559
23912,23912,libclangTidyPlugin.a,0,0
57924,57956,libclangTidyPortabilityModule.a,-32,-0.055244804
3070166,3065934,libclangTidyReadabilityModule.a,4232,0.137842709
517524,517540,libclangTidyUtils.a,-16,-0.003091644
45190,45190,libclangTidyZirconModule.a,0,0
577870,577878,libclangTooling.a,-8,-0.001384394
